visitorid,rank,itemid,score
1103368,6,309778,0.006357794161885977
1103368,7,281717,0.006304703652858734
1103368,8,135446,0.005675320513546467
1103368,9,234215,0.005394870415329933
1103368,10,288887,0.005235246382653713
319818,1,438484,0.00034275330835953355
319818,2,445351,0.0003033587709069252
319818,3,320130,0.00027505666366778314
319818,4,37029,0.00021243859373498708
319818,5,213834,0.00020359002519398928
319818,6,218746,0.00013780765584670007
319818,7,122604,0.00012176275777164847
319818,8,51650,0.00011217166320420802
319818,9,48030,0.00009767954179551452
319818,10,234255,0.0000932960319914855
1208378,1,5411,2.1570913943946834e-9
1208378,2,546,1.4721999175293377e-9
1208378,3,187946,1.3888314942533952e-9
1208378,4,248455,1.2385232839307037e-9
1208378,5,369447,1.1122297527421665e-9
1208378,6,420960,1.1070376837452045e-9
1208378,7,268883,1.051976949995037e-9
1208378,8,370653,8.321012767709135e-10
1208378,9,257040,8.232420301013121e-10
1208378,10,29196,7.662727674606629e-10
1164823,1,461686,0.056204307824373245
1164823,2,218794,0.03965793922543526
1164823,3,171878,0.03352983295917511
1164823,4,10572,0.032266709953546524
1164823,5,32581,0.02564609795808792
1164823,6,75392,0.016600430011749268
1164823,7,222888,0.016372643411159515
1164823,8,333039,0.01551041379570961
1164823,9,158912,0.015154585242271423
1164823,10,422376,0.014771082438528538
107449,1,210087,0.012649957090616226
107449,2,462188,0.01051288191229105
107449,3,298009,0.009833796881139278
107449,4,46156,0.00822893250733614
107449,5,133907,0.0077180746011435986
107449,6,49384,0.007299883756786585
107449,7,379520,0.007273546885699034
107449,8,231243,0.0069564394652843475
107449,9,432171,0.006942895706743002
107449,10,400946,0.0067533887922763824
1016759,1,354233,0.0016902239294722676
1016759,2,441668,0.0016896406887099147
1016759,3,335975,0.001397614716552198
1016759,4,369447,0.0013662154087796807
1016759,5,158666,0.0012304979609325528
1016759,6,133814,0.0011898070806637406
1016759,7,350629,0.00117947394028306
1016759,8,37029,0.0011569163762032986
1016759,9,260415,0.0009228865383192897
1016759,10,112782,0.0009002312435768545
48831,1,315543,0.00007738421118119732
48831,2,12765,0.0000612042349530384
48831,3,255725,0.00005624319601338357
48831,4,312728,0.000052923634939361364
48831,5,298009,0.00005084049189463258
48831,6,243980,0.000048253583372570574
48831,7,466385,0.000046315450163092464
48831,8,120541,0.00004615694342646748
48831,9,399031,0.000045514996600104496
48831,10,322485,0.00004527555574895814
232546,1,133907,0.00598997063934803
232546,2,222888,0.005837701261043549
232546,3,122219,0.00580620625987649
232546,4,464731,0.005315674468874931
232546,5,400946,0.00518856942653656
232546,6,315543,0.005135623272508383
232546,7,342530,0.0050126598216593266
232546,8,314789,0.004971020855009556
232546,9,370653,0.004675842821598053
232546,10,120541,0.004546668380498886
233957,1,5411,1.4519786484257224e-9
233957,2,546,1.39149758382473e-9
233957,3,248455,1.2787009229242585e-9
233957,4,187946,7.524610934339648e-10
233957,5,420960,7.308809113482084e-10
233957,6,128296,7.278981306590993e-10
233957,7,252344,6.756740722480004e-10
233957,8,268883,6.737698177161633e-10
233957,9,243355,6.535858521061755e-10
233957,10,368403,5.65766100635301e-10
1373083,1,37029,9.727030203521281e-8
1373083,2,445351,6.98300368640048e-8
1373083,3,5470,5.5217398653439886e-8
1373083,4,46130,5.071929365385586e-8
1373083,5,417927,4.847829515597368e-8
1373083,6,122604,4.669784914312913e-8
1373083,7,213834,4.288793320483819e-8
1373083,8,389158,4.2458928817268315e-8
1373083,9,420960,3.356649003194434e-8
1373083,10,438484,3.205023801911011e-8
779169,1,5411,1.3627928785453491e-9
779169,2,546,1.026542295612387e-9
779169,3,248455,9.587575178215957e-10
779169,4,369447,9.225662456202599e-10
779169,5,420960,7.793138356859686e-10
779169,6,111530,6.711988742580388e-10
779169,7,268883,6.265514773673431e-10
779169,8,367664,6.147853892635169e-10
779169,9,417927,5.60314794562089e-10
779169,10,243980,5.3167825697642e-10
129673,1,257040,0.0024355361238121986
129673,2,82278,0.0022246427834033966
129673,3,219512,0.0021123464684933424
129673,4,85579,0.00189655099529773
129673,5,369447,0.0018961067544296384
129673,6,365015,0.0018374172504991293
129673,7,358895,0.0017909527523443103
129673,8,314789,0.001749818678945303
129673,9,7943,0.0017284767236560583
129673,10,315543,0.001728372648358345
489111,1,111530,0.0023575988598167896
489111,2,459475,0.0008241046452894807
489111,3,229928,0.0004375785356387496
489111,4,339517,0.0004115037154406309
489111,5,268883,0.0003346643061377108
489111,6,420960,0.00030968920327723026
489111,7,248455,0.00030921422876417637
489111,8,370653,0.00030903355218470097
489111,9,89438,0.00029832881409674883
489111,10,143866,0.00029548804741352797
575013,1,363109,0.002653789706528187
575013,2,243355,0.002581318374723196
575013,3,17108,0.0025570227298885584
575013,4,416017,0.002455279929563403
575013,5,7943,0.0023732688277959824
575013,6,89775,0.0023249140940606594
575013,7,354153,0.00225874618627131
575013,8,337327,0.002250397577881813
575013,9,153778,0.0021387413144111633
575013,10,82229,0.0020343540236353874
266671,1,320130,0.00002323998160136398
266671,2,438484,0.000015086329767655116
266671,3,218746,0.000011668773368000984
266671,4,51650,0.000010501264114282094
266671,5,159822,0.000010401882718724664
266671,6,37029,0.000010137164281331934
266671,7,389158,9.776721526577603e-6
266671,8,396042,9.701837370812427e-6
266671,9,298009,9.553472409606911e-6
266671,10,12217,8.881156645657029e-6
1106303,1,459936,0.03337542340159416
1106303,2,33030,0.03149265795946121
1106303,3,215715,0.020200664177536964
1106303,4,115696,0.016723794862627983
1106303,5,358234,0.015824008733034134
1106303,6,375492,0.013642524369060993
1106303,7,37807,0.010705450549721718
1106303,8,33956,0.009334268048405647
1106303,9,260256,0.009032662957906723
1106303,10,114514,0.008768522180616856
645921,1,320130,2.7045925889979117e-6
645921,2,200425,1.1964798432018142e-6
645921,3,111530,1.0669226639947738e-6
645921,4,244252,1.0530856116020004e-6
645921,5,299677,1.0372588121754234e-6
645921,6,381211,9.010716439661337e-7
645921,7,210009,8.399205171372159e-7
645921,8,17108,7.838025339879096e-7
645921,9,29196,7.806360713402682e-7
645921,10,389158,7.6061240861236e-7
609419,1,298009,0.0026865822728723288
609419,2,111530,0.0008562103030271828
609419,3,461686,0.000761152827180922
609419,4,180751,0.000713884539436549
609419,5,444190,0.0006750664906576276
609419,6,208939,0.0006208744598552585
609419,7,420960,0.000552488025277853
609419,8,266085,0.000538940541446209
609419,9,441852,0.0005320096388459206
609419,10,287449,0.0005169296055100858
931671,1,42002,0.003605725709348917
931671,2,416017,0.0030356678180396557
931671,3,228066,0.002756115747615695
931671,4,65273,0.0026653099339455366
931671,5,309778,0.002628475660458207
931671,6,450082,0.0024847928434610367
931671,7,211418,0.0023690275847911835
931671,8,400946,0.0023508104495704174
931671,9,448453,0.002256250474601984
931671,10,298009,0.0022428855299949646
1274493,1,369447,0.00007626104343216866
1274493,2,350629,0.00007238713442347944
1274493,3,188698,0.000058019202697323635
1274493,4,158666,0.0000575008598389104
1274493,5,222888,0.00005563002196140587
1274493,6,442431,0.00004813459963770583
1274493,7,133814,0.000047370147512992844
1274493,8,229382,0.000046892328100511804
1274493,9,361103,0.000044566440919879824
1274493,10,253615,0.000044236439862288535
1249629,1,363109,0.0020373316947370768
1249629,2,243355,0.001537148840725422
1249629,3,7943,0.0015140422619879246
1249629,4,82229,0.00147596700116992
1249629,5,416017,0.0013653943315148354
1249629,6,4001,0.0013305025640875101
1249629,7,377960,0.0012190301204100251
1249629,8,162139,0.001156817190349102
1249629,9,17108,0.001145692658610642
1249629,10,89775,0.0011405454715713859
396056,1,298009,3.176504337343289e-10
396056,2,219512,3.168727780167302e-10
396056,3,384302,2.732977455455199e-10
396056,4,7943,2.337215698755557e-10
396056,5,306289,1.5243743767268114e-10
396056,6,379520,1.5090426130903722e-10
396056,7,431099,1.474094180053953e-10
396056,8,45226,1.4299780803916917e-10
396056,9,129457,1.416575606816295e-10
396056,10,61345,1.38836914187479e-10
458581,1,315545,3.541682417562697e-6
458581,2,422425,3.520950485835783e-6
458581,3,452295,3.010974523931509e-6
458581,4,5470,2.9240209187264554e-6
458581,5,16344,2.8410145205270965e-6
458581,6,448453,2.635498731251573e-6
458581,7,275423,2.5800350158533547e-6
458581,8,231478,2.5679453301563626e-6
458581,9,40870,2.437540388200432e-6
458581,10,52039,2.373570396230207e-6
235022,1,111530,0.00005549663183046505
235022,2,48030,0.00004354401244199835
235022,3,179601,0.000034999513445654884
235022,4,151444,0.000034839897125493735
235022,5,430292,0.00002876154576370027
235022,6,42002,0.000027284906536806375
235022,7,148360,0.000026782086933963
235022,8,442131,0.00002648977533681318
235022,9,101718,0.000024465673050144687
235022,10,290999,0.000024221611965913326
711638,1,4001,0.005305293016135693
711638,2,345279,0.00473419763147831
711638,3,7943,0.0036500520072877407
711638,4,158666,0.003636221634224057
711638,5,116624,0.003572234883904457
711638,6,441852,0.0035247430205345154
711638,7,257040,0.003489332739263773
711638,8,350629,0.003434183541685343
711638,9,29871,0.003305587451905012
711638,10,66405,0.003192709293216467
1204383,1,298009,0.00004091871960554272
1204383,2,445351,0.00003156923776259646
1204383,3,320130,0.000026156922103837132
1204383,4,96924,0.000021260329958749935
1204383,5,37029,0.000020236684576957487
1204383,6,180751,0.000019825874915113673
1204383,7,213834,0.000019752569642150775
1204383,8,122604,0.000019449647879810072
1204383,9,234255,0.00001841703851823695
1204383,10,40870,0.000014656612620456144
177744,1,298009,0.03204911947250366
177744,2,286731,0.028656641021370888
177744,3,11670,0.026600705459713936
177744,4,161623,0.023835498839616776
177744,5,420960,0.023776117712259293
177744,6,268883,0.023647144436836243
177744,7,222604,0.02251325733959675
177744,8,80435,0.021528666839003563
177744,9,29100,0.021357741206884384
177744,10,50648,0.02107832208275795
95592,1,7943,5.273154135565505e-10
95592,2,298009,4.926517527259477e-10
95592,3,219512,4.80459450002968e-10
95592,4,384302,4.1353326318827044e-10
95592,5,138427,3.7048142331741474e-10
95592,6,379520,3.078536869871584e-10
95592,7,161623,3.0653987681539263e-10
95592,8,190000,2.797928555509088e-10
95592,9,231243,2.3470353438526104e-10
95592,10,306289,2.180134545115564e-10
985599,1,344071,0.0005036246730014682
985599,2,243169,0.0004128142027184367
985599,3,398756,0.0003808140172623098
985599,4,350629,0.0003727693692781031
985599,5,421884,0.00036784709664061666
985599,6,231482,0.0003401653084438294
985599,7,199018,0.0003106013173237443
985599,8,109618,0.0003032103704754263
985599,9,290999,0.0002897182712331414
985599,10,381265,0.0002825513656716794
1121543,1,546,7.6798045700599e-10
1121543,2,248455,6.391306373032535e-10
1121543,3,315545,5.148160231449594e-10
1121543,4,5411,4.49822179504622e-10
1121543,5,320494,4.2895106910911807e-10
1121543,6,128296,4.172718837125444e-10
1121543,7,420960,4.1238193415615854e-10
1121543,8,422425,3.9698816456379404e-10
1121543,9,268883,3.7392708374106576e-10
1121543,10,252344,3.6744426945567454e-10
651567,1,298009,1.3179988211931004e-9
651567,2,219512,1.2770744461931827e-9
651567,3,384302,1.0907498237955338e-9
651567,4,7943,9.903394770915952e-10
651567,5,234255,7.879619734474375e-10
651567,6,190000,7.356192877061574e-10
651567,7,138427,7.230952503434196e-10
651567,8,306289,5.823462267962043e-10
651567,9,45226,5.684785975290652e-10
651567,10,129457,5.472168829179225e-10
82062,1,546,1.952316780462482e-10
82062,2,5411,1.8537935075890744e-10
82062,3,248455,1.8039225668786685e-10
82062,4,420960,1.2015442807378207e-10
82062,5,268883,1.0312328768691259e-10
82062,6,111530,1.0222596380504712e-10
82062,7,252344,9.45259426288203e-11
82062,8,369447,8.921730715316656e-11
82062,9,128296,8.591588551709606e-11
82062,10,283916,7.076216695933724e-11
336079,1,441852,0.000060165999457240105
336079,2,351481,0.000032297153666149825
336079,3,116624,0.00003183597436873242
336079,4,387373,0.0000304794630210381
336079,5,183511,0.00002873752237064764
336079,6,46156,0.000028340487915556878
336079,7,369447,0.00002650858550623525
336079,8,463280,0.000024078688511508517
336079,9,354585,0.00002279911313962657
336079,10,23762,0.000021354648197302595
612554,1,298009,1.5093369887253516e-9
612554,2,384302,1.3517239549898363e-9
612554,3,7943,1.3384555686002386e-9
612554,4,219512,1.336344257474309e-9
612554,5,234255,1.076397415644692e-9
612554,6,40870,7.559003978307999e-10
612554,7,379520,7.366289800359027e-10
612554,8,190000,6.275475694650368e-10
612554,9,306289,6.157255816319207e-10
612554,10,340960,6.021047549431557e-10
424399,1,461686,0.005106632597744465
424399,2,320494,0.0036240993067622185
424399,3,190000,0.0034575494937598705
424399,4,315545,0.003349022241309285
424399,5,354233,0.003272091271355748
424399,6,422425,0.0030951513908803463
424399,7,219512,0.0027912515215575695
424399,8,48030,0.002774521242827177
424399,9,384302,0.002466792007908225
424399,10,291877,0.002437387127429247
980743,1,298009,4.796297803366656e-10
980743,2,384302,3.1902866459709855e-10
980743,3,219512,2.9118801814220774e-10
980743,4,234255,2.2633347973588513e-10
980743,5,379520,2.0945351009160618e-10
980743,6,231243,1.8995625905571245e-10
980743,7,138427,1.6949885939254727e-10
980743,8,306289,1.5747055048809244e-10
980743,9,431099,1.4584419782970315e-10
980743,10,129457,1.4542202164680162e-10
389248,1,422425,3.727715693457867e-6
389248,2,221329,3.4088552638422698e-6
389248,3,315545,3.3856226764328312e-6
389248,4,78265,3.187200491083786e-6
389248,5,393028,3.096595264651114e-6
389248,6,17108,2.764762939477805e-6
389248,7,138427,2.749581426542136e-6
389248,8,304685,2.557660081947688e-6
389248,9,52039,2.532524149501114e-6
389248,10,37029,2.5267588625865756e-6
935049,1,409804,0.0000807785036158748
935049,2,312728,0.00007627288869116455
935049,3,46232,0.00007504077802877873
935049,4,29196,0.00007302526501007378
935049,5,298009,0.00004839864413952455
935049,6,40870,0.000027066536858910695
935049,7,17108,0.00002524864612496458
935049,8,344071,0.00002170247898902744
935049,9,414432,0.00002142817720596213
935049,10,7943,0.00002020373722189106
1132683,1,298009,1.1185024018089962e-9
1132683,2,234255,8.796739447980428e-10
1132683,3,7943,8.26121282493375e-10
1132683,4,187946,7.331393825360522e-10
1132683,5,384302,7.171864213617596e-10
1132683,6,219512,6.763361537487356e-10
1132683,7,190000,6.385816320175763e-10
1132683,8,379520,4.5217604660585664e-10
1132683,9,290999,4.4334796944767163e-10
1132683,10,320130,4.356614513589818e-10
196698,1,7943,9.368182896096755e-10
196698,2,298009,9.043474857861611e-10
196698,3,447661,5.245626155669925e-10
196698,4,219512,5.083881648992872e-10
196698,5,416017,4.931187125301051e-10
196698,6,190000,4.721327773182793e-10
196698,7,234255,4.10922962323923e-10
196698,8,384302,3.2334324107097245e-10
196698,9,357054,2.914001262510624e-10
196698,10,431099,2.7749258446618796e-10
854673,1,48030,0.00018930586520582438
854673,2,445351,0.00017031455354299396
854673,3,369447,0.00016367272473871708
854673,4,222888,0.00014493503840640187
854673,5,438484,0.00012979422172065824
854673,6,113535,0.00012207866529934108
854673,7,382885,0.00011412952153477818
854673,8,7943,0.000111179739178624
854673,9,383767,0.00010310525249224156
854673,10,338660,0.00009855456301011145
660876,1,445351,0.000010088593626278453
660876,2,315543,9.258485988539178e-6
660876,3,213834,9.156609849014785e-6
660876,4,400946,8.295864972751588e-6
660876,5,342530,8.261928087449633e-6
660876,6,438484,7.878345968492795e-6
660876,7,24734,7.4738941293617245e-6
660876,8,22436,7.426149750244804e-6
660876,9,46232,7.409360023302725e-6
660876,10,253615,7.261385235324269e-6
1046256,1,9877,0.00042912433855235577
1046256,2,444190,0.0003986191004514694
1046256,3,325310,0.000393221213016659
1046256,4,208939,0.0003923408221453428
1046256,5,241555,0.0003815330273937434
1046256,6,38965,0.00036865740548819304
1046256,7,287449,0.00034831155790016055
1046256,8,77573,0.0003145054215565324
1046256,9,412622,0.00031429645605385303
1046256,10,283115,0.00030791526660323143
1035492,1,298009,2.054160175291031e-9
1035492,2,219512,1.6414548609233748e-9
1035492,3,384302,1.608342348191627e-9
1035492,4,234255,1.1752497863781741e-9
1035492,5,7943,1.0613647738466625e-9
1035492,6,40870,8.763670900080456e-10
1035492,7,190000,7.911590271802993e-10
1035492,8,306289,7.798794943170151e-10
1035492,9,231243,7.753008235411585e-10
1035492,10,45226,7.482348074461243e-10
650118,1,5411,7.870663010223211e-10
650118,2,187946,6.90696166927296e-10
650118,3,546,6.105574934522906e-10
650118,4,248455,5.595653385093158e-10
650118,5,369447,5.113678369639274e-10
650118,6,420960,4.479841220206282e-10
650118,7,268883,3.7224723303808105e-10
650118,8,417927,3.4731820197642094e-10
650118,9,96924,3.17968512630884e-10
650118,10,111530,3.122754832496355e-10
1171964,1,5411,0.0009431333746761084
1171964,2,455183,0.0009224938694387674
1171964,3,461686,0.0008085345616564155
1171964,4,445351,0.000785855867434293
1171964,5,96924,0.0007765769260004163
1171964,6,46156,0.0007119260262697935
1171964,7,153778,0.000614267832133919
1171964,8,158666,0.0006126553053036332
1171964,9,37029,0.0006055580452084541
1171964,10,222888,0.0005998756387270987
405814,1,441852,0.003949594218283892
405814,2,96924,0.0034782537259161472
405814,3,66752,0.003307696897536516
405814,4,158666,0.0032311310060322285
405814,5,198784,0.003042423166334629
405814,6,190000,0.0025913279969245195
405814,7,357650,0.0024634315632283688
405814,8,268755,0.0023353782016783953
405814,9,65273,0.002311850432306528
405814,10,461686,0.0022623585537075996
149401,1,393111,2.981465740958811e-7
149401,2,208939,2.913668311066431e-7
149401,3,310944,2.800103118261177e-7
149401,4,444190,2.744787366282253e-7
149401,5,287449,2.450595104619424e-7
149401,6,29757,2.1752609313807625e-7
149401,7,330469,1.8603955709295406e-7
149401,8,228287,1.7782515726594283e-7
149401,9,77573,1.7491638004685228e-7
149401,10,266553,1.6887815945665352e-7
61650,1,546,3.868475687340833e-6
61650,2,248455,3.6495614494924666e-6
61650,3,350384,3.121464033029042e-6
61650,4,445351,3.065435066673672e-6
61650,5,213834,2.8413521704351297e-6
61650,6,389814,2.7186704301129794e-6
61650,7,211418,2.6876632546191104e-6
61650,8,128296,2.6185625756625086e-6
61650,9,48030,2.395487399553531e-6
61650,10,261673,2.355460310354829e-6
521861,1,7943,0.026199370622634888
521861,2,448453,0.01575557515025139
521861,3,315543,0.013309812173247337
521861,4,441668,0.012415988370776176
521861,5,416017,0.008553587831556797
521861,6,82278,0.008515989407896996
521861,7,112782,0.008205022662878036
521861,8,414460,0.007414138875901699
521861,9,461686,0.007342793047428131
521861,10,370653,0.00733694713562727
196763,1,290999,9.728452710078273e-9
196763,2,455183,9.247677290602496e-9
196763,3,234255,9.141848167359967e-9
196763,4,29100,9.068257256217294e-9
196763,5,357054,7.686230318881826e-9
196763,6,231482,7.631832943388872e-9
196763,7,460188,6.996276447068794e-9
196763,8,292444,6.786097017652537e-9
196763,9,80435,6.565167964822649e-9
196763,10,243980,6.2362524033687805e-9
893372,1,37029,0.0000259504777204711
893372,2,162139,0.000022316900867735967
893372,3,315543,0.000020300638425396755
893372,4,153778,0.000018939721485367045
893372,5,546,0.000018378494132775813
893372,6,444593,0.00001821584373828955
893372,7,176484,0.00001752225034579169
893372,8,5470,0.000017368751286994666
893372,9,462188,0.000016795531337265857
893372,10,256721,0.000016143232642207295
889017,1,420960,0.0056059579364955425
889017,2,222888,0.0048624929040670395
889017,3,320130,0.004407049156725407
889017,4,268883,0.004144127946346998
889017,5,272907,0.003968927077949047
889017,6,283916,0.0036436342634260654
889017,7,424506,0.002811021637171507
889017,8,456874,0.0027357316575944424
889017,9,76196,0.0027244137600064278
889017,10,361554,0.0025509181432425976
439646,1,399031,0.010877088643610477
439646,2,374092,0.009872158989310265
439646,3,243980,0.009700540453195572
439646,4,367664,0.00968591682612896
439646,5,424515,0.009305850602686405
439646,6,292444,0.009093917906284332
439646,7,257575,0.008468100801110268
439646,8,2836,0.008330842480063438
439646,9,382751,0.008116442710161209
439646,10,212216,0.008090431801974773
1402061,1,234255,0.00828198529779911
1402061,2,455183,0.006688029505312443
1402061,3,158666,0.005917475558817387
1402061,4,133907,0.005675353109836578
1402061,5,546,0.005201336927711964
1402061,6,355994,0.004922646097838879
1402061,7,303715,0.004681626334786415
1402061,8,369447,0.004489583894610405
1402061,9,133814,0.0044648428447544575
1402061,10,219512,0.0042009237222373486
669533,1,20388,0.0018245610408484936
669533,2,358594,0.0016726484755054116
669533,3,428002,0.0014990447089076042
669533,4,382885,0.0014526820741593838
669533,5,464895,0.0013107142876833677
669533,6,299044,0.0013013395946472883
669533,7,129356,0.0012904165778309107
669533,8,255725,0.0012565789511427283
669533,9,396791,0.0012484074104577303
669533,10,446730,0.0012276865309104323
700023,1,219512,0.0025852546095848083
700023,2,355994,0.002456195652484894
700023,3,111530,0.002422564197331667
700023,4,416017,0.0024054856039583683
700023,5,7943,0.002361190738156438
700023,6,316472,0.002294152043759823
700023,7,379520,0.002213213127106428
700023,8,358895,0.0020936927758157253
700023,9,450082,0.0020896855276077986
700023,10,159780,0.002071237191557884
966187,1,290999,0.0012866674223914742
966187,2,179601,0.0009424187010154128
966187,3,242905,0.0008926832815632224
966187,4,340375,0.00072492565959692
966187,5,73852,0.0007159817032516003
966187,6,355994,0.0006929303053766489
